company,frame,score,confidence,fallback,citations,dt_ms,rationale
synthesia,Working style,2.8,low,false,1,3941,"The only hard evidence is an internal deployment policy (AI Content Standards, Apr 2025) covering avatar consent and C2PA provenance — a writing/standards artefact, not a lobbying record. No consultation submissions or Westminster-meeting traces are present. Synthesia's reputation as a trust-and-safety product shop suggests active coalition and regulatory engagement, but that work is undocumented here."
synthesia,Team style,2.3,medium,false,1,3975,"Synthesia is still building the practice — avatar-consent regimes, C2PA integration, and deepfake mitigations are non-standard problems with no settled industry template, requiring ongoing judgement calls rather than execution of a known playbook. The April 2025 content standards framework shows shipping cadence but the domain itself is frontier-shaped with two-year feedback loops on what 'good' looks like."
frontier-economics,Geographic remit,2.1,low,false,1,3294,"Only evidence present is a single CMA consultation submission on UK foundation models, with no lobbying records, EU filings, NIST engagements, or international forum activity visible. Frontier Economics is a multi-jurisdiction consultancy in principle, but the available evidence shows exclusively UK-facing policy work here."
frontier-economics,Policy area scope,1.8,low,false,1,5331,"Frontier Economics' visible AI policy evidence is a single CMA consultation submission focused narrowly on competition economics and market structure in foundation models. No lobbying records, safety frameworks, or submissions on adjacent domains (export controls, procurement, content provenance, age-appropriate design) appear in the evidence set, indicating a specialist rather than broad posture."
frontier-economics,Stage of company,4.2,medium,false,1,3751,"Frontier Economics is a well-established economic consultancy with a recognised presence in UK regulatory circles — submitting directly to CMA Foundation Models market study signals an active regulatory-affairs function and credibility with top-tier competition regulators. Not a startup; has global offices and a long track record advising governments. Stops short of 5.0 as it is a consultancy, not a tech principal with a seat at AISI."
frontier-economics,Policy posture,3.2,low,false,1,3542,"Frontier Economics engages regulators analytically — their CMA Foundation Models submission applies economic frameworks to interpret concentration — but this is expert advisory input within existing regulatory processes, not rule-writing. No RSPs, model cards, or novel governance frameworks observed. They shape how regulators think, without defining the regulatory agenda itself."
frontier-economics,Working style,2.1,low,false,1,8601,"Frontier Economics' primary visible output is a formal written consultation submission to the CMA — a classic writing-led artefact. As an economic consultancy, its influence model is memo-and-report-driven: producing rigorous analysis that regulators absorb in written form, not coalition-building or ministerial briefings. No lobbying records or coalition activity appear in evidence."
frontier-economics,Team style,3.2,low,false,1,3929,"Frontier Economics applies established competition-economics methodology (scale economies framing, CMA-register analysis) to AI markets — a known consulting playbook adapted to a novel domain. The CMA Foundation Models submission shows rigorous but conventional economic analysis rather than frontier practice-building. Some judgment calls remain on how to apply legacy frameworks to AI, keeping this short of pure playbook execution."
helsing,Geographic remit,3.8,low,false,1,3753,"Helsing's focus areas — AUKUS, export controls, dual-use frameworks — structurally require engagement across UK, EU, US, and allied-nation forums simultaneously; no single-jurisdiction shop can handle that remit. However, direct evidence of specific multi-forum lobbying or consultation submissions is absent, so the inference rests on the nature of the policy domains rather than documented activity."
helsing,Policy area scope,2.1,low,false,1,3886,"Helsing's documented policy surface is narrow: one governance charter focused on defence-AI ethics, IHL compliance, and meaningful human control. Stated focus areas (export controls, dual-use, AUKUS) suggest some breadth within the defence domain, but no lobbying records, consultation submissions, or publications evidence engagement outside that cluster. Depth within defence is plausible; cross-domain breadth is not demonstrated."
helsing,Stage of company,3.8,medium,false,1,4041,"Helsing has a published governance charter, a growing London office with stated policy engagement across export controls and AUKUS, and operates in the most regulated end of defence AI — indicators of meaningful institutional maturity. Evidence is thin (one framework, no lobbying records or consultation submissions surfaced), so the score stops short of 4.5; it is clearly beyond startup stage but not yet a proven seat-at-the-table operator."
helsing,Policy posture,2.1,low,false,1,3534,"Helsing's 2024 Ethics Principles introduce a bespoke democratic-values/IHL framing ahead of any regulatory requirement, suggesting rule-writing intent rather than compliance-following. However, evidence is thin: no consultation submissions, lobbying records, or published policy frameworks beyond the single charter, and that charter is light on independent oversight mechanisms."
helsing,Working style,4.2,low,false,1,4190,"Helsing's work on export controls, AUKUS, and weapons-system governance is inherently relationship- and access-driven rather than publishing-driven; the only available evidence is a light ethics charter, not substantive public writing. Defence-AI policy shops at this level operate almost exclusively through MoD/Pentagon briefings, inter-agency coalitions, and off-record conversations — the nature of the domain makes government-affairs the dominant mode."
helsing,Team style,1.8,low,false,1,3844,"Helsing's policy footprint is thin publicly — one light governance charter, no consultation submissions or lobbying records surfaced. Defence-AI governance at this intersection of export controls, AUKUS, and IHL compliance has no established template; the team is necessarily inventing the practice, making judgement calls in novel regulatory terrain with long feedback loops."
google-deepmind,Geographic remit,4.5,medium,false,4,3979,"Google DeepMind's policy function is explicitly described as engaging DSIT, AISI, EU AI Office, and NIST in parallel — the textbook multi-jurisdiction profile. The two consultation submissions on record are both UK-only, but the company description and the international scope of the Frontier Safety Framework (designed to interface with multiple regulatory regimes) confirm the broader remit. Thin lobbying record limits full confidence."
google-deepmind,Policy area scope,3.2,low,false,4,5722,"Evidence shows DeepMind engaging across frontier safety, competition/market structure (CMA), and UK AI regulation (DSIT) — more than a single-issue shop. However, the documented record here is thin: no compute export controls, procurement, age-appropriate design, or content provenance submissions visible. Company description implies broader reach exists, but the actual filings provided don't confirm it."
google-deepmind,Stage of company,5,high,false,4,3726,"Google DeepMind is a subsidiary of Alphabet, one of the world's largest companies, with demonstrated regulatory engagement across DSIT, CMA, and its own published Frontier Safety Framework v2.0. It submits formal consultation responses to UK regulators, maintains a specialist policy function, and has a seat at major AI governance tables — the definition of 'Established' on this axis."
google-deepmind,Policy posture,1.8,medium,false,4,4014,"DeepMind published a Frontier Safety Framework (v2.0) with Critical Capability Levels and pre-deployment eval commitments before any statutory requirement, and showed up to DSIT and CMA consultations with substantive new frameworks rather than just responding to requirements. The DSIT submission argued against a horizontal AI Act, proposing its own preferred regulatory architecture—classic rule-writing behavior."
google-deepmind,Working style,3.8,medium,false,4,3817,"Google DeepMind produces substantive written outputs (Frontier Safety Framework, consultation submissions to DSIT and CMA) but sits inside a major Big Tech government-affairs machine with established Westminster and EU relationships. The consultation submissions argue specific regulatory positions to officials, suggesting active government-affairs engagement beyond writing. Thin lobbying record data limits certainty."
google-deepmind,Team style,2.8,medium,false,4,4285,"DeepMind sits in genuine frontier-setting territory on safety frameworks — the FSF v2.0 with CCLs and structured evals is novel practice being actively defined, not a known playbook. However, the policy function itself is large, specialist, and institutionalised (parallel engagement with DSIT, CMA, EU, NIST), suggesting Monday mornings involve executing established advocacy plays rather than inventing them from scratch."
anthropic-london,Geographic remit,2.8,low,false,3,3850,"Both consultation submissions target UK regulators (DSIT, AISI), with no evidence of EU AI Office, NIST, or international forum engagement visible in the London desk's record. The RSP shapes global voluntary norms but that's a corporate framework, not a multi-jurisdiction policy operation. Thin lobbying record limits confidence in a higher score."
anthropic-london,Policy area scope,2.1,medium,false,3,3568,"All visible submissions and frameworks concentrate on frontier-model evaluations, RSP/ASL thresholds, and AISI partnership — no evidence of engagement on compute export controls, age-appropriate design, content provenance, or public-sector procurement. The two consultation responses both anchor to the same pre-deployment evals argument, confirming depth over breadth."
anthropic-london,Stage of company,4.6,high,false,3,4478,"Anthropic has a formal AISI partnership with pre-deployment eval access, multiple regulatory consultation submissions to DSIT and AISI, and a published RSP (v2.1) that defines legally-referenced capability thresholds — clear signs of an established regulatory affairs function. The London office is smaller than a DeepMind-scale operation, preventing a full 5.0, but the company demonstrably has a seat at the table when AISI convenes."
anthropic-london,Policy posture,1.4,high,false,4,3601,"Anthropic created the RSP framework before regulators asked, offered it as a template to AISI, and submitted consultation responses arguing for mandatory pre-deployment evals anchored to its own model. This is textbook rule-writing, not rule-following. The ASL threshold architecture has directly shaped UK and international voluntary frameworks."
anthropic-london,Working style,2.8,medium,false,4,5110,"Anthropic's London footprint is anchored in public writing: the RSP, two formal consultation submissions to DSIT and AISI, and model-card-style documentation that others cite. The AISI partnership involves direct government engagement, but zero lobbying records appear and the style remains document-first rather than meetings-first."
anthropic-london,Team style,1.8,medium,false,4,4535,"Anthropic London is actively writing the template others follow — the RSP introduced ASL thresholds before any regulator required them, and the AISI consultation submissions offered the RSP as a model framework rather than responding to one. Monday mornings involve inventing evaluation criteria and threshold definitions, not executing inherited plays."
openai-london,Geographic remit,3.8,medium,false,2,3682,"OpenAI's London-linked policy work visibly spans both UK (DSIT AI Regulation White Paper) and EU (AI Office GPAI Code of Practice) jurisdictions, evidencing a cross-border remit. However, the evidence base is thin — only two consultation submissions and no lobbying records or US/international forum engagement documented here, limiting how far above midpoint this can land."
openai-london,Policy area scope,2.8,low,false,2,3919,"The two consultation submissions cover GPAI/copyright (EU) and regulatory approach (UK), suggesting modest breadth, but there is no evidence of engagement on compute export controls, age-appropriate design, procurement, or content provenance. Safety frameworks (Preparedness Framework, Model Spec) add thematic range internally but don't translate to documented policy-area scope. Evidence base is thin."
openai-london,Stage of company,4.8,high,false,3,4770,"OpenAI is among the most established AI companies globally: it filed formal consultation submissions to both DSIT and the EU AI Office, maintains a published Preparedness Framework v2.0 and Model Spec, and has a dedicated London global-affairs function engaging Westminster and Brussels. It clearly holds a seat at the table when regulators convene frontier-lab discussions."
openai-london,Policy posture,1.8,medium,false,3,3695,"OpenAI publishes frontier-defining artefacts unprompted—Preparedness Framework v2 with deployment thresholds, Model Spec as a public behavioural anchor—and shows up to EU and UK consultations pushing novel frameworks (sector-led approaches, narrower GPAI scope) rather than simply reading compliance obligations. Consultation submissions shape rule-drafts rather than react to them."
openai-london,Working style,4.2,medium,false,2,4402,"The company description explicitly flags a Westminster-shaped shop focused on government affairs and partnerships with 'less long-form public writing.' Consultation submissions to DSIT and EU AI Office show direct regulatory engagement arguing substantive positions, consistent with a briefing-and-meetings model. Published safety frameworks exist but originate from global HQ, not the London policy team."
openai-london,Team style,2.4,medium,false,3,4442,"OpenAI London operates without an established government-affairs template for frontier-lab policy at this scale — the team is actively shaping what UK/EU engagement looks like, making novel judgment calls on scope (GPAI systemic-risk thresholds, copyright carve-outs) rather than running a polished standard playbook. The Preparedness Framework and Model Spec provide internal structure, but externally the policy posture is still being invented in real time."
alan-turing-institute,Geographic remit,2.1,low,false,1,3594,"The only concrete evidence is a single UK DSIT consultation submission; no EU, US, or international forum engagement is documented here. ATI does have known international convening activity, but the evidence provided shows exclusively UK-facing policy work, warranting a near-low score with slight uplift for ATI's known global reputation."
alan-turing-institute,Policy area scope,3.8,low,false,1,3646,"ATI's institutional mandate spans AI standards, data ethics, public-sector deployment, and safety assurance—inherently broad. The single visible submission touches coordination and assurance within the AI regulation white paper, consistent with multi-domain work, but evidence here is thin; the institute's known scope informs the score more than the sparse citation record."
alan-turing-institute,Stage of company,4.8,high,false,1,3284,"The Alan Turing Institute is the UK's national AI institute — a public body with direct access to ministers, a formal consultation submission to DSIT on the AI Regulation White Paper, and an established policy programme with serious convening power. It sits firmly at the 'established' end: government-backed, multi-domain, with a recognised seat at the table alongside AISI and DSIT."
alan-turing-institute,Policy posture,2.8,low,false,1,3648,"ATI submitted a substantive consultation response to DSIT's AI Regulation White Paper proposing a stronger central coordination function and clearer assurance standards—going beyond endorsement to offer new architectural frameworks. However, as a publicly-funded institute rather than a commercial entity, its posture leans toward shaping policy rather than complying with it, placing it closer to the frontier-defining end, though its institutional role is more convening/advisory than rule-originating."
alan-turing-institute,Working style,2.3,low,false,1,3897,"The Turing Institute's profile is predominantly writing-led: it produces briefs, consultation responses, and technical reports that others cite. The single evidence item is a formal written submission to DSIT's AI Regulation White Paper, consistent with a paper-output model. Its convening role adds some government-facing activity, but no lobbying records or coalition/meeting evidence appears here."
alan-turing-institute,Team style,4.2,medium,false,1,3918,"The Turing Institute's DSIT submission exemplifies mature playbook execution: endorsing an established model (regulator-network), then pushing on known levers (coordination functions, assurance standards) rather than proposing novel architectures. The company description reinforces this — briefs for ministers, convening power, writing-led — all pointing to consistent delivery over frontier-setting."
ada-lovelace-institute,Geographic remit,1.8,medium,false,3,3577,"All visible consultation submissions target UK regulators (DSIT, AISI) and the flagship publication focuses on UK AI regulation. No evidence of EU AI Office, NIST, or international forum engagement in the provided record. Ada operates as a UK-focused think tank; any international work is not reflected in the evidence supplied."
ada-lovelace-institute,Policy area scope,2.8,low,false,3,3392,"Ada's visible evidence clusters tightly around UK AI regulation, algorithmic accountability, and evaluation frameworks — all overlapping themes. There is no evidence here of compute export controls, age-appropriate design, content provenance, or procurement. The AISI and DSIT submissions show depth in one coherent policy cluster, not breadth across domains."
ada-lovelace-institute,Stage of company,3.8,medium,false,3,3488,"Ada Lovelace Institute is a well-established think tank with direct engagement with AISI and DSIT, published signature regulation reports widely cited in UK policy debate, and has a demonstrated government-affairs reach. However, it remains a compact, writing-led organisation without a large regulatory affairs function or global footprint — closer to influential insider than institutional heavyweight."
ada-lovelace-institute,Policy posture,1.4,high,false,3,4662,"Ada consistently proposes new institutional architecture rather than engaging existing rules: it called the AI White Paper 'insufficient' and demanded an AI Bill and independent ombudsman (citation 7), pushed AISI to expand beyond its own stated scope (citation 8), and published a signature framework report cited across subsequent policy debate (citation 13). There is no compliance function to speak of — Ada's entire output is frontier-defining."
ada-lovelace-institute,Working style,2.1,medium,false,3,3575,"Ada's output is overwhelmingly publication-driven: a signature regulation report (id 13) widely cited in policy debate, plus formal written consultation submissions to DSIT and AISI (ids 7, 8). No lobbying records appear; influence flows through written work others quote rather than Westminster meetings or coalition backchannels."
ada-lovelace-institute,Team style,1.8,medium,false,3,6996,"Ada operates as a frontier-setter: small compact team generating original policy arguments (e.g. calling for statutory duties and an AI ombudsman where none existed, pushing AISI into societal-impact evals) with long feedback loops and no established playbook to execute. The work is writing- and judgement-led, shaping the debate rather than running repeatable advocacy plays."
cltr,Geographic remit,2.3,low,false,3,3581,"All visible consultation submissions target UK regulators (AISI, DSIT), and no lobbying records or publications show engagement with EU AI Office, NIST, or other international forums. The Bletchley Declaration co-authorship has international reach in influence, but the operational policy desk appears UK-focused. Thin evidence overall limits confidence."
cltr,Policy area scope,2.1,medium,false,3,3544,"All visible evidence — Future Proof, the AISI submission, and the DSIT White Paper response — clusters tightly around frontier AI safety, catastrophic risk, and evaluation frameworks. There is no evidence of engagement on compute export controls, age-appropriate design, content provenance, or procurement policy. CLTR is a deliberate single-domain specialist, not a broad multi-issue shop."
cltr,Stage of company,3.2,medium,false,3,7083,"CLTR has a genuine seat at the table — co-authoring Bletchley Declaration framing, submitting directly to AISI and DSIT, and shaping frontier governance debates — but remains a ~15-person think-tank without a regulatory affairs function, global comms team, or formal enforcement footprint. Influence is outsized relative to organisational maturity."
cltr,Policy posture,1.2,high,false,3,3526,"CLTR epitomises the frontier-defining end: co-authored framing that fed the Bletchley Declaration (id 14), proposed new statutory powers for AISI before the mandate existed (id 10), and argued for binding frontier-model regimes with mandatory third-party evals (id 9). There is no compliance function to speak of—the organisation is constructing the rules others will follow."
cltr,Working style,3.8,medium,false,3,5777,"CLTR's Bletchley Declaration co-authorship and direct AISI/DSIT submissions signal heavy government-engagement work—briefing officials, shaping mandates—that is the hallmark of a Westminster affairs shop. The 'Future Proof' paper shows writing output, but the primary lever is insider access and coalition-building rather than public long-form publishing."
cltr,Team style,1.4,medium,false,3,9683,"CLTR is a ~15-person shop that co-authored the Bletchley Declaration framing and pioneered 'frontier AI catastrophic risk' as a policy category — there was no pre-existing playbook. Submissions to AISI and DSIT show novel norm-setting (statutory pre-deployment access, mandatory third-party evals) rather than executing established templates. Monday morning is clearly judgment calls, not plays."
aisi,Geographic remit,4.5,medium,false,1,4578,"AISI was explicitly created with an international coordination mandate — co-founding the International Network of AI Safety Institutes, partnering with US AISI/NIST, and engaging the AI Seoul Summit process. Its remit inherently spans EU AI Office, G7/G20, and bilateral agreements, not just UK-domestic regulators. Thin direct evidence here, but the institutional design is public record."
aisi,Policy area scope,2.1,low,false,1,3052,"Available evidence shows AISI focused almost exclusively on frontier model evaluations and safety standards, with no documented lobbying records, consultation submissions, or frameworks covering compute export controls, procurement, age-appropriate design, or content provenance. The May 2024 evaluation methodology update reinforces a narrow technical-safety remit rather than broad multi-domain policy reach."
aisi,Stage of company,4.8,high,false,1,5102,"AISI is a government body with a dedicated regulatory-affairs function embedded inside DSIT, publishes frontier-model evaluation standards that the market follows, and literally convenes the meetings other organisations are invited to attend. It is the definitional 'seat at the table' entity, not an applicant for one."
aisi,Policy posture,1.2,medium,false,1,6385,"AISI is definitionally frontier-defining: it publishes novel evaluation methodology (May 2024 update, id 16), sets public bars before statutory requirements exist, and drives international coordination frameworks rather than responding to them. As the UK's primary AI safety setter, it writes the rules other actors must follow."
aisi,Working style,3.8,low,false,1,4034,"AISI produces technical publications (e.g., the May 2024 evaluations update) but its core mandate is to brief ministers, coordinate with DSIT, run closed-door evaluations with frontier labs, and anchor international forums like the Seoul AI Safety Summit. The writing is largely instrumental—supporting government-facing work—rather than an end in itself."
aisi,Team style,1.4,medium,false,1,3493,"AISI is explicitly building frontier AI evaluation methodology from scratch — the May 2024 update documents novel evals with no established template. As a newly formed government body defining what safety testing even means at national scale, nearly every decision is a first-principles judgement call with long feedback loops and no inherited playbook."
dsit-ai-policy,Geographic remit,4.2,low,false,0,4248,"DSIT's AI Policy Directorate explicitly lists 'international AI' as a focus area alongside domestic UK strategy, and Whitehall AI policy desks routinely engage GPAI, OECD, G7/G20 AI tracks, and bilateral forums — not just CMA/OFCOM. However, the primary mandate remains UK sovereign policy, so it does not score a full 5 despite clear multi-jurisdiction reach."
dsit-ai-policy,Policy area scope,5,medium,false,0,3348,"DSIT's AI Policy Directorate is the UK government's central AI policy-making body, structurally mandated to span the full policy surface: regulation frameworks, national AI strategy, international coordination, procurement, safety standards, and sector-specific design rules. Its remit by definition covers every domain touching AI governance rather than any single issue."
dsit-ai-policy,Stage of company,5,medium,false,0,3159,"DSIT's AI Policy Directorate is a UK government ministry — by definition a mature, established institution with formal regulatory authority, international representation, and a permanent policy apparatus. No evidence documents were provided, but the structural description alone places it unambiguously at the top of the maturity scale."
dsit-ai-policy,Policy posture,1.5,low,false,0,4053,"DSIT's AI Policy Directorate is structurally a rule-writer, not a rule-follower: it authors UK AI strategy, produces regulatory frameworks, and leads international AI coordination. With no evidence of compliance-oriented activity and a mandate explicitly to make policy rather than consume it, it sits near the frontier-defining end, tempered slightly by its role within existing parliamentary constraints."
dsit-ai-policy,Working style,4.8,medium,false,0,4385,"DSIT's AI Policy Directorate is the statutory home of UK AI regulation — its core function is ministerial briefings, interdepartmental coordination, stakeholder meetings, and shaping legislation, not publishing long-form research. The description explicitly notes it holds 'the regulatory levers' and runs 'the Westminster job.' That is definitionally government-affairs-led work."
dsit-ai-policy,Team style,3.2,low,false,0,4275,"DSIT's AI Policy Directorate sits in a mature Whitehall machinery with established policy processes, ministerial cycles, and parliamentary rhythms — classic 'execute the playbook' infrastructure. However, UK AI regulation is genuinely unsettled (no statutory regulator yet, pro-innovation framework still evolving), meaning Monday mornings involve real frontier judgement calls alongside procedural familiarity. Thin evidence forces a mid-range estimate."
tbi,Geographic remit,4.2,medium,false,1,3569,"TBI's own description and focus areas include explicit 'international AI' work, and the institute operates advisory relationships with multiple governments globally, not just the UK. However, the single available citation (paper #15) is UK/DSIT-focused, and no lobbying records or consultation submissions evidence cross-jurisdictional regulatory engagement directly. Institutional profile strongly implies multi-jurisdiction remit."
tbi,Policy area scope,4.2,low,false,1,3496,"TBI's described focus spans AI for state capacity, public services, international AI, and the AI Opportunity Plan — inherently multi-domain work touching procurement, governance architecture, and geopolitics. However, direct evidence is thin (one paper, no lobbying records or consultation submissions), so the score relies partly on the company description rather than documented policy breadth."
tbi,Stage of company,4.8,medium,false,1,4403,"TBI is a long-established, globally operating policy institute with direct access to senior government; its 'Governing in the Age of AI' paper demonstrably shaped DSIT/AI Opportunity Plan thinking. It has a large comms and government-affairs operation, international reach, and a seat at high-level AI policy tables — firmly at the 'Established' end of the scale."
tbi,Policy posture,1.4,medium,false,1,3406,"TBI is explicitly in the business of writing new frameworks for state actors, not complying with existing ones. 'Governing in the Age of AI' directly shaped DSIT thinking, and the institute's AI Opportunity Plan involvement confirms a rule-drafting posture. Absence of any compliance filings or safety frameworks further signals frontier-defining orientation."
tbi,Working style,4.2,medium,false,1,4123,"TBI's description explicitly places it at the government-affairs end: closely involved with the AI Opportunity Plan, shaping DSIT thinking, proposing 'the next state move.' The single cited paper (id 15) is more a policy pitch to government than a public intellectual contribution, consistent with a shop whose primary channel is Westminster briefings and direct official engagement rather than open research."
tbi,Team style,2.1,low,false,1,4361,"TBI operates at the agenda-setting end of AI policy — their 'Governing in the Age of AI' paper shaped DSIT thinking, suggesting a frontier-building posture rather than executing established plays. As a think-tank advising on novel state-capacity questions with long feedback loops and no clear playbook for AI-in-government, Monday mornings look more like first-principles design than repeatable execution."
mistral-london,Geographic remit,3.8,low,false,1,3363,"Mistral's London office operates as a bridge node across EU AI Act, UK, and US policy—open-weights advocacy spans multiple jurisdictions by design. However, the evidence provided is thin (only an AUP; no lobbying records or consultation submissions), and Paris remains the policy HQ, limiting London's autonomous multi-jurisdiction footprint."
mistral-london,Policy area scope,2.1,low,false,1,3437,"Evidence is thin: only a basic Acceptable Use Policy is on file, with no consultation submissions, lobbying records, or publications visible. Mistral's documented editorial signature is open-weights advocacy, and the London office is explicitly described as a small beachhead team. No signals of engagement across compute export controls, age-appropriate design, procurement, or provenance."
mistral-london,Stage of company,3.8,low,false,1,3748,"Mistral is a well-funded frontier lab with named EU AI Act and open-weights policy positions, a Paris HQ with dedicated policy staff, and a London beachhead—not a startup. However, the London office is a small satellite; real regulatory footprint and comms infrastructure sit in Paris. Evidence here is thin, limited to a basic AUP."
mistral-london,Policy posture,2.1,low,false,1,3712,"Mistral's open-weights advocacy and EU AI Act engagement signal active rule-shaping ambitions, not mere compliance. The only direct evidence—a thin Acceptable Use Policy with prohibited-use lists but no capability-threshold commitments—falls short of frontier-defining instruments like RSPs, yet the company's posture is clearly offensive rather than reactive."
mistral-london,Working style,3.8,low,false,1,3853,"Mistral's London office functions as a government-affairs beachhead on EU-AI Act and UK-EU bridge questions, with real policy work oriented toward official briefings rather than long-form publishing. The only direct evidence here is a thin acceptable-use policy; no consultation submissions or position papers appear, suggesting hours go to meetings rather than writing. Open-weights editorial work is centred in Paris."
mistral-london,Team style,2.1,low,false,1,4246,"London is explicitly a small beachhead team bridging EU-UK-US policy, not running an established playbook. Open-weights advocacy is a genuinely contested frontier where no industry standard exists yet. The only framework evidence (thin AUP) suggests improvised posture rather than mature process execution."
demos,Geographic remit,1.4,low,false,1,3061,"Only evidence is a single UK DSIT consultation submission; no EU, US, or international forum engagement is documented. Demos is a UK-focused think tank whose AI work concentrates on UK public services and democratic infrastructure, consistent with a near-exclusively domestic policy remit."
demos,Policy area scope,3.2,low,false,1,3787,"Demos's AI Regulation White Paper submission spans democratic participation, public procurement, and public-interest tests — already multi-topic — but the single consultation evidenced here doesn't demonstrate the full breadth (compute controls, age-appropriate design, content provenance) that would anchor a high score. Company description confirms broad institutional scope, but AI-specific evidence remains thin."
